-0.42, -0.57, -0.33, -0.49, -0.61,
-0.72, -0.47, -0.28, -0.30, -0.36,
-0.55, -0.68, -0.59, -0.40, -0.63,
-0.38, -0.60, -0.57, -0.34, -0.41,
-0.36, -0.62, -0.48, -0.43, -0.35,
-0.70, -0.66, -0.52, -0.29, -0.46,-0.77


-0.28, -0.40, -0.22, -0.36, -0.45,
-0.57, -0.44, -0.24, -0.20, -0.31,
-0.47, -0.59, -0.48, -0.34, -0.55,
-0.32, -0.53, -0.46, -0.30, -0.38,
-0.27, -0.50, -0.42, -0.37, -0.31,
-0.61, -0.58, -0.44, -0.26, -0.39,-0.44

_____________________________________________________________________

1.02, 1.28, 0.83, 1.15, 1.40,
0.91, 0.77, 0.66, 0.85, 0.93,
1.22, 1.11, 1.05, 0.88, 1.14,
0.79, 0.92, 0.85, 0.71, 0.89,
0.95, 1.18, 1.10, 0.94, 0.80,
1.35, 1.15, 1.02, 0.74, 1.09,1.03


0.85, 1.12, 0.64, 0.98, 1.25,
0.77, 0.68, 0.59, 0.72, 0.80,
1.05, 0.93, 0.88, 0.74, 0.91,
0.69, 0.81, 0.73, 0.62, 0.79,
0.84, 1.02, 0.96, 0.83, 0.71,
1.18, 0.97, 0.85, 0.66, 0.92,1.20
_______________________________________________________________
